dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
cora,node2vec,256,10,10,0.25,0.25,0.8191983019868009,0.8413284132841329,0.8413284132841329,00:00:04.011
cora,node2vec,256,10,10,0.25,0.25,0.827848383345664,0.8450184501845017,0.8450184501845018,00:00:04.129
cora,node2vec,256,10,10,0.25,0.25,0.8260788723779767,0.8431734317343174,0.8431734317343174,00:00:04.022
cora,node2vec,256,10,10,0.25,0.25,0.8164113332251111,0.8339483394833949,0.8339483394833949,00:00:04.173
cora,node2vec,256,10,10,0.25,0.25,0.8232751397855017,0.8413284132841329,0.8413284132841329,00:00:03.960
cora,node2vec,256,10,10,0.25,0.25,0.824931186840289,0.8431734317343174,0.8431734317343174,00:00:03.937
cora,node2vec,256,10,10,0.25,0.25,0.8239223707652449,0.8394833948339483,0.8394833948339483,00:00:04.111
cora,node2vec,256,10,10,0.25,0.25,0.8179646517818969,0.8394833948339483,0.8394833948339483,00:00:04.064
cora,node2vec,256,10,10,0.25,0.25,0.8304023801873346,0.8523985239852399,0.8523985239852399,00:00:04.081
cora,node2vec,256,10,10,0.25,0.25,0.8277301904036681,0.8487084870848709,0.8487084870848709,00:00:04.018
cora,node2vec,256,10,10,0.25,0.25,0.8138482783325175,0.8376383763837638,0.8376383763837638,00:00:04.186
cora,node2vec,256,10,10,0.25,0.25,0.8209362850347363,0.8394833948339483,0.8394833948339483,00:00:04.033
cora,node2vec,256,10,10,0.25,0.25,0.8283542341014135,0.8413284132841329,0.8413284132841329,00:00:04.148
cora,node2vec,256,10,10,0.25,0.25,0.8200624552958671,0.8357933579335792,0.8357933579335793,00:00:04.005
cora,node2vec,256,10,10,0.25,0.25,0.8249688331589243,0.8468634686346863,0.8468634686346863,00:00:04.154
cora,node2vec,256,10,10,0.25,0.25,0.8334637789994293,0.8523985239852399,0.8523985239852399,00:00:04.036
cora,node2vec,256,10,10,0.25,0.25,0.8127998919137299,0.8321033210332104,0.8321033210332104,00:00:04.149
cora,node2vec,256,10,10,0.25,0.25,0.8209944866621142,0.8376383763837638,0.8376383763837638,00:00:04.025
cora,node2vec,256,10,10,0.25,0.25,0.8143118360312336,0.8376383763837638,0.8376383763837638,00:00:04.042
cora,node2vec,256,10,10,0.25,0.25,0.8412667177172068,0.8634686346863468,0.8634686346863468,00:00:04.127
cora,node2vec,256,10,10,0.25,0.25,0.8297486900728687,0.8487084870848709,0.8487084870848709,00:00:04.061
