dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
pubmed,pagerank,256,10,10,0.25,0.5,0.8067389766625025,0.8197261663286004,0.8197261663286004,00:05:50.377
pubmed,pagerank,256,10,10,0.25,0.5,0.8017150969418672,0.8144016227180527,0.8144016227180527,00:05:56.983
pubmed,pagerank,256,10,10,0.25,0.5,0.799632873685959,0.8141480730223124,0.8141480730223124,00:05:54.625
pubmed,pagerank,256,10,10,0.25,0.5,0.7989216729475478,0.8128803245436106,0.8128803245436106,00:05:52.827
pubmed,pagerank,256,10,10,0.25,0.5,0.803371924534206,0.8174442190669371,0.8174442190669371,00:05:55.393
pubmed,pagerank,256,10,10,0.25,0.5,0.8054159058177328,0.8174442190669371,0.8174442190669371,00:05:49.724
pubmed,pagerank,256,10,10,0.25,0.5,0.8062540275409283,0.8189655172413793,0.8189655172413793,00:05:50.118
pubmed,pagerank,256,10,10,0.25,0.5,0.8053225010069536,0.8176977687626775,0.8176977687626775,00:05:58.408
pubmed,pagerank,256,10,10,0.25,0.5,0.8034973342847563,0.8176977687626775,0.8176977687626775,00:05:58.086
pubmed,pagerank,256,10,10,0.25,0.5,0.8053792671409244,0.818204868154158,0.8182048681541582,00:06:08.257
pubmed,pagerank,256,10,10,0.25,0.5,0.814059233124393,0.8250507099391481,0.8250507099391481,00:05:59.598
pubmed,pagerank,256,10,10,0.25,0.5,0.8044515193957281,0.8187119675456389,0.8187119675456389,00:06:02.149
pubmed,pagerank,256,10,10,0.25,0.5,0.8081687867318186,0.8217545638945233,0.8217545638945233,00:06:18.731
pubmed,pagerank,256,10,10,0.25,0.5,0.80510002547827,0.8179513184584178,0.8179513184584178,00:06:20.562
pubmed,pagerank,256,10,10,0.25,0.5,0.8111074756643634,0.8247971602434077,0.8247971602434077,00:06:06.208
pubmed,pagerank,256,10,10,0.25,0.5,0.799039030634373,0.813894523326572,0.813894523326572,00:06:03.878
pubmed,pagerank,256,10,10,0.25,0.5,0.8015907309576566,0.813894523326572,0.813894523326572,00:06:01.948
pubmed,pagerank,256,10,10,0.25,0.5,0.7994240066484822,0.8123732251521298,0.8123732251521298,00:05:58.074
pubmed,pagerank,256,10,10,0.25,0.5,0.7981278770401251,0.8133874239350912,0.8133874239350912,00:06:01.520
pubmed,pagerank,256,10,10,0.25,0.5,0.8030007287910718,0.8154158215010142,0.8154158215010142,00:06:01.635
pubmed,pagerank,256,10,10,0.25,0.5,0.8008029100478028,0.8141480730223124,0.8141480730223124,00:06:03.884
pubmed,pagerank,256,10,10,0.25,0.5,0.8046772616592687,0.8187119675456389,0.8187119675456389,00:05:58.724
pubmed,pagerank,256,10,10,0.25,0.5,0.7995241403178058,0.8141480730223124,0.8141480730223124,00:05:59.733
