dataset,technique,dimensions,num_of_walks,walk_length,p,q,macro_f1_score,micro_f1_score,accuracy,time_taken
pubmed,node2vec,256,10,10,0.25,2.0,0.7717864479522727,0.7865111561866126,0.7865111561866126,00:02:14.217
pubmed,node2vec,256,10,10,0.25,2.0,0.7739875269804015,0.7885395537525355,0.7885395537525355,00:02:16.087
pubmed,node2vec,256,10,10,0.25,2.0,0.7830622068566915,0.7963995943204868,0.7963995943204868,00:02:15.670
pubmed,node2vec,256,10,10,0.25,2.0,0.7718892999251006,0.7862576064908722,0.7862576064908722,00:02:13.372
pubmed,node2vec,256,10,10,0.25,2.0,0.7767732189606499,0.790314401622718,0.790314401622718,00:02:16.745
pubmed,node2vec,256,10,10,0.25,2.0,0.776648316694299,0.7908215010141988,0.7908215010141988,00:02:19.065
pubmed,node2vec,256,10,10,0.25,2.0,0.7749527251945509,0.7867647058823529,0.7867647058823529,00:02:21.893
pubmed,node2vec,256,10,10,0.25,2.0,0.7841060625750472,0.7976673427991886,0.7976673427991886,00:02:03.153
pubmed,node2vec,256,10,10,0.25,2.0,0.7776710965353426,0.789553752535497,0.789553752535497,00:02:01.178
pubmed,node2vec,256,10,10,0.25,2.0,0.7783081521688376,0.79158215010142,0.7915821501014199,00:01:58.568
pubmed,node2vec,256,10,10,0.25,2.0,0.7838532577896101,0.795131845841785,0.795131845841785,00:01:59.703
pubmed,node2vec,256,10,10,0.25,2.0,0.7840964836254551,0.7966531440162272,0.7966531440162272,00:01:59.676
pubmed,node2vec,256,10,10,0.25,2.0,0.77084409882346,0.7877789046653145,0.7877789046653144,00:02:03.510
pubmed,node2vec,256,10,10,0.25,2.0,0.7735748157590656,0.7862576064908722,0.7862576064908722,00:01:57.572
pubmed,node2vec,256,10,10,0.25,2.0,0.7772565497129985,0.7908215010141988,0.7908215010141988,00:02:00.993
pubmed,node2vec,256,10,10,0.25,2.0,0.7778626705975044,0.7936105476673428,0.7936105476673428,00:02:03.926
pubmed,node2vec,256,10,10,0.25,2.0,0.7807227025677085,0.7963995943204868,0.7963995943204868,00:02:00.544
pubmed,node2vec,256,10,10,0.25,2.0,0.7778271883889382,0.7920892494929005,0.7920892494929006,00:01:58.406
pubmed,node2vec,256,10,10,0.25,2.0,0.7794423971316936,0.7931034482758621,0.7931034482758621,00:01:57.346
pubmed,node2vec,256,10,10,0.25,2.0,0.7905099774772019,0.8032454361054768,0.8032454361054767,00:01:55.465
pubmed,node2vec,256,10,10,0.25,2.0,0.7829125357423697,0.7969066937119675,0.7969066937119675,00:01:54.992
pubmed,node2vec,256,10,10,0.25,4.0,0.7720363655389205,0.7870182555780934,0.7870182555780934,00:01:58.203
pubmed,node2vec,256,10,10,0.25,4.0,0.7791337351080028,0.7928498985801218,0.7928498985801217,00:01:57.607
pubmed,node2vec,256,10,10,0.25,4.0,0.7743629354573122,0.7887931034482759,0.7887931034482759,00:02:02.593
pubmed,node2vec,256,10,10,0.25,4.0,0.7717839459556769,0.7860040567951317,0.7860040567951319,00:02:01.107
pubmed,node2vec,256,10,10,0.25,4.0,0.7737368561659849,0.789553752535497,0.789553752535497,00:01:52.277
pubmed,node2vec,256,10,10,0.25,4.0,0.7758601913875157,0.7913286004056795,0.7913286004056795,00:01:56.690
pubmed,node2vec,256,10,10,0.25,4.0,0.7773694226934743,0.7887931034482759,0.7887931034482759,00:02:00.282
pubmed,node2vec,256,10,10,0.25,4.0,0.7815940973584937,0.7956389452332657,0.7956389452332657,00:02:03.513
pubmed,node2vec,256,10,10,0.25,4.0,0.7721666917742551,0.7849898580121704,0.7849898580121704,00:02:02.211
pubmed,node2vec,256,10,10,0.25,4.0,0.7620641829866576,0.7773833671399595,0.7773833671399595,00:02:02.745
pubmed,node2vec,256,10,10,0.25,4.0,0.7785562410791612,0.7893002028397565,0.7893002028397565,00:02:14.437
pubmed,node2vec,256,10,10,0.25,4.0,0.7697612377701787,0.7816937119675458,0.7816937119675457,00:02:08.461
pubmed,node2vec,256,10,10,0.25,4.0,0.7816098527909147,0.7943711967545639,0.7943711967545639,00:02:09.028
pubmed,node2vec,256,10,10,0.25,4.0,0.7747055492629505,0.790314401622718,0.790314401622718,00:02:05.495
pubmed,node2vec,256,10,10,0.25,4.0,0.7685188897832056,0.7842292089249493,0.7842292089249493,00:02:03.130
pubmed,node2vec,256,10,10,0.25,4.0,0.7655515524744919,0.7822008113590264,0.7822008113590264,00:02:03.203
pubmed,node2vec,256,10,10,0.25,4.0,0.7688480349789009,0.7857505070993914,0.7857505070993914,00:02:04.262
pubmed,node2vec,256,10,10,0.25,4.0,0.7736416062471659,0.7887931034482759,0.7887931034482759,00:02:05.246
pubmed,node2vec,256,10,10,0.25,4.0,0.7779002804851661,0.7910750507099392,0.7910750507099391,00:02:08.045
pubmed,node2vec,256,10,10,0.25,4.0,0.7802367012290193,0.7948782961460447,0.7948782961460447,00:02:12.796
pubmed,node2vec,256,10,10,0.25,4.0,0.7691202383914121,0.7814401622718052,0.7814401622718052,00:02:05.614
pubmed,node2vec,256,10,10,0.25,4.0,0.7690979278053923,0.7844827586206896,0.7844827586206896,00:02:07.160
pubmed,node2vec,256,10,10,0.25,4.0,0.7738587779369618,0.7885395537525355,0.7885395537525355,00:02:11.514
pubmed,node2vec,256,10,10,0.25,4.0,0.7748928347253683,0.7898073022312373,0.7898073022312373,00:02:07.149
pubmed,node2vec,256,10,10,0.25,4.0,0.7806271659390202,0.7928498985801218,0.7928498985801217,00:02:10.082
pubmed,node2vec,256,10,10,0.5,0.25,0.7787652157815508,0.79158215010142,0.7915821501014199,00:02:06.874
pubmed,node2vec,256,10,10,0.5,0.25,0.7709663525061359,0.7844827586206896,0.7844827586206896,00:02:05.271
pubmed,node2vec,256,10,10,0.5,0.25,0.7826128921856109,0.7966531440162272,0.7966531440162272,00:02:06.668
pubmed,node2vec,256,10,10,0.5,0.25,0.7852149520470512,0.7999492900608519,0.7999492900608519,00:02:11.953
pubmed,node2vec,256,10,10,0.5,0.25,0.7844835740901376,0.7971602434077079,0.7971602434077079,00:02:26.284
